Feature	Importance
SF-33	0.029495
SF-23	0.022823
SF-15	0.021296
SF-21	0.017933
SF-57	0.017455
SF-35	0.015603
SF-71	0.013595
SF-34	0.012966
SF-83	0.011010
SF-59	0.011008
SF-45	0.010891
SF-69	0.010640
SF-81	0.010362
SF-27	0.009841
SF-93	0.009447
SF-0	0.009392
SF-94	0.009383
SF-105	0.009055
SF-63	0.008971
SF-87	0.008584
SF-51	0.008320
SF-117	0.006437
SF-95	0.006202
SF-6	0.005797
SF-3	0.005110
SF-8	0.004240
SF-58	0.003971
SF-99	0.003892
SF-22	0.003708
SF-107	0.003395
SF-39	0.003177
SF-123	0.003171
SF-131	0.003057
SF-118	0.002911
SF-46	0.002897
SF-2	0.002883
SF-47	0.002837
SF-129	0.002610
SF-17	0.002559
SF-106	0.002516
SF-4	0.002500
SF-70	0.002474
SF-7	0.002384
SF-82	0.002207
SF-10	0.002050
SF-9	0.002020
SF-25	0.001920
SF-141	0.001851
SF-12	0.001848
SF-75	0.001702
SF-36	0.001241
SF-119	0.001180
SF-24	0.001033
SF-153	0.001021
SF-26	0.000929
SF-64	0.000871
SF-16	0.000859
SF-111	0.000857
SF-49	0.000854
SF-147	0.000807
SF-61	0.000794
SF-28	0.000746
SF-135	0.000721
SF-18	0.000694
SF-154	0.000684
SF-41	0.000680
SF-143	0.000670
SF-11	0.000614
SF-130	0.000613
SF-84	0.000554
SF-53	0.000533
SF-54	0.000525
SF-96	0.000516
SF-101	0.000514
SF-97	0.000512
SF-52	0.000489
SF-20	0.000466
SF-86	0.000464
SF-125	0.000458
SF-65	0.000436
SF-108	0.000430
SF-1	0.000409
SF-88	0.000379
SF-32	0.000363
SF-72	0.000350
SF-40	0.000348
SF-5	0.000331
SF-56	0.000328
SF-109	0.000321
SF-37	0.000315
SF-89	0.000312
SF-68	0.000307
SF-85	0.000299
SF-100	0.000288
SF-55	0.000287
SF-73	0.000264
SF-113	0.000262
SF-120	0.000253
SF-38	0.000240
SF-90	0.000231
SF-48	0.000212
SF-137	0.000204
SF-112	0.000196
SF-50	0.000192
SF-74	0.000181
SF-121	0.000180
SF-92	0.000171
SF-29	0.000156
SF-98	0.000154
SF-77	0.000145
SF-60	0.000134
SF-122	0.000134
SF-30	0.000133
SF-155	0.000096
SF-142	0.000090
SF-132	0.000075
SF-102	0.000074
SF-104	0.000073
SF-76	0.000062
SF-66	0.000058
SF-19	0.000055
SF-62	0.000049
SF-136	0.000038
SF-145	0.000038
SF-67	0.000037
SF-157	0.000032
SF-91	0.000031
SF-144	0.000029
SF-148	0.000027
SF-124	0.000025
SF-149	0.000024
SF-31	0.000021
SF-110	0.000020
SF-14	0.000018
SF-42	0.000017
SF-126	0.000016
SF-156	0.000014
SF-127	0.000013
SF-43	0.000012
SF-133	0.000009
SF-158	0.000009
SF-13	0.000008
SF-134	0.000008
SF-116	0.000007
SF-80	0.000006
SF-115	0.000005
SF-139	0.000004
SF-44	0.000004
SF-138	0.000004
SF-103	0.000003
SF-79	0.000003
SF-114	0.000003
SF-78	0.000002
SF-140	0.000001
SF-146	0.000001
SF-128	0.000001
SF-152	0.000001
SF-150	0.000000
SF-151	0.000000
