Feature	Importance
SF-22	0.032067
SF-34	0.023697
SF-23	0.018510
SF-58	0.016739
SF-57	0.016266
SF-35	0.015136
SF-59	0.014416
SF-21	0.014273
SF-94	0.013687
SF-46	0.013169
SF-70	0.010962
SF-82	0.008799
SF-47	0.008675
SF-15	0.008525
SF-118	0.008160
SF-93	0.008156
SF-81	0.007643
SF-71	0.007423
SF-33	0.005887
SF-0	0.005759
SF-105	0.005635
SF-16	0.004189
SF-129	0.004094
SF-106	0.003864
SF-6	0.003853
SF-45	0.003423
SF-83	0.003073
SF-27	0.003067
SF-95	0.002909
SF-9	0.002802
SF-130	0.002373
SF-51	0.002312
SF-69	0.002266
SF-39	0.002116
SF-52	0.002039
SF-1	0.002013
SF-141	0.001778
SF-2	0.001753
SF-26	0.001655
SF-142	0.001624
SF-28	0.001614
SF-63	0.001382
SF-119	0.001271
SF-5	0.001219
SF-10	0.001186
SF-99	0.001133
SF-7	0.000828
SF-87	0.000810
SF-64	0.000796
SF-75	0.000769
SF-37	0.000748
SF-74	0.000721
SF-100	0.000720
SF-25	0.000716
SF-3	0.000661
SF-153	0.000658
SF-72	0.000621
SF-62	0.000585
SF-20	0.000583
SF-49	0.000568
SF-88	0.000543
SF-53	0.000537
SF-85	0.000496
SF-154	0.000487
SF-24	0.000483
SF-98	0.000454
SF-50	0.000437
SF-12	0.000384
SF-131	0.000382
SF-55	0.000379
SF-4	0.000361
SF-18	0.000348
SF-29	0.000331
SF-48	0.000327
SF-97	0.000326
SF-135	0.000312
SF-73	0.000306
SF-56	0.000289
SF-117	0.000282
SF-143	0.000256
SF-40	0.000243
SF-107	0.000243
SF-8	0.000240
SF-11	0.000228
SF-30	0.000225
SF-123	0.000211
SF-86	0.000205
SF-60	0.000186
SF-66	0.000179
SF-17	0.000174
SF-76	0.000161
SF-112	0.000160
SF-61	0.000129
SF-109	0.000125
SF-110	0.000124
SF-38	0.000121
SF-65	0.000102
SF-147	0.000100
SF-122	0.000100
SF-111	0.000098
SF-89	0.000088
SF-120	0.000088
SF-67	0.000083
SF-68	0.000070
SF-42	0.000068
SF-121	0.000067
SF-36	0.000065
SF-155	0.000060
SF-145	0.000052
SF-92	0.000051
SF-77	0.000051
SF-84	0.000042
SF-91	0.000042
SF-96	0.000041
SF-78	0.000036
SF-19	0.000030
SF-90	0.000030
SF-137	0.000030
SF-157	0.000029
SF-32	0.000029
SF-54	0.000027
SF-101	0.000026
SF-102	0.000026
SF-124	0.000025
SF-132	0.000023
SF-134	0.000023
SF-127	0.000021
SF-136	0.000016
SF-103	0.000016
SF-79	0.000015
SF-13	0.000015
SF-41	0.000014
SF-113	0.000014
SF-14	0.000014
SF-108	0.000012
SF-43	0.000010
SF-146	0.000010
SF-148	0.000009
SF-128	0.000009
SF-31	0.000009
SF-149	0.000008
SF-114	0.000008
SF-156	0.000007
SF-144	0.000007
SF-126	0.000007
SF-133	0.000007
SF-104	0.000006
SF-125	0.000005
SF-115	0.000005
SF-138	0.000003
SF-80	0.000003
SF-158	0.000003
SF-44	0.000002
SF-140	0.000002
SF-116	0.000002
SF-139	0.000001
SF-150	0.000001
SF-151	0.000000
SF-152	0.000000
