Feature	Importance
SF-22	0.024824
SF-70	0.022875
SF-34	0.017632
SF-57	0.013576
SF-82	0.013492
SF-35	0.010195
SF-21	0.008948
SF-23	0.008643
SF-45	0.008627
SF-46	0.007935
SF-33	0.007804
SF-107	0.006849
SF-94	0.006704
SF-106	0.006466
SF-59	0.005807
SF-71	0.005571
SF-8	0.005220
SF-81	0.004821
SF-118	0.004598
SF-9	0.004431
SF-130	0.004252
SF-3	0.003875
SF-83	0.003625
SF-6	0.003430
SF-10	0.003386
SF-17	0.003234
SF-154	0.002933
SF-15	0.002860
SF-37	0.002682
SF-16	0.002500
SF-142	0.002432
SF-53	0.002415
SF-52	0.002407
SF-95	0.002321
SF-27	0.002280
SF-61	0.002240
SF-47	0.002213
SF-69	0.001964
SF-29	0.001790
SF-28	0.001752
SF-24	0.001657
SF-49	0.001625
SF-42	0.001566
SF-78	0.001539
SF-20	0.001522
SF-51	0.001492
SF-93	0.001447
SF-1	0.001423
SF-4	0.001422
SF-19	0.001421
SF-119	0.001307
SF-62	0.001188
SF-63	0.001056
SF-60	0.001055
SF-89	0.001049
SF-11	0.001043
SF-0	0.001031
SF-66	0.000977
SF-131	0.000889
SF-41	0.000873
SF-85	0.000868
SF-143	0.000866
SF-58	0.000865
SF-5	0.000858
SF-99	0.000797
SF-18	0.000789
SF-40	0.000782
SF-7	0.000778
SF-64	0.000774
SF-2	0.000763
SF-26	0.000761
SF-109	0.000715
SF-91	0.000696
SF-87	0.000687
SF-56	0.000669
SF-155	0.000634
SF-92	0.000611
SF-30	0.000607
SF-112	0.000605
SF-43	0.000594
SF-72	0.000591
SF-65	0.000585
SF-13	0.000582
SF-55	0.000579
SF-101	0.000575
SF-114	0.000568
SF-77	0.000532
SF-76	0.000531
SF-100	0.000513
SF-102	0.000508
SF-105	0.000504
SF-68	0.000502
SF-25	0.000486
SF-31	0.000482
SF-32	0.000473
SF-113	0.000469
SF-124	0.000446
SF-50	0.000439
SF-44	0.000357
SF-14	0.000346
SF-48	0.000345
SF-141	0.000341
SF-39	0.000338
SF-90	0.000338
SF-74	0.000323
SF-129	0.000298
SF-12	0.000282
SF-103	0.000273
SF-84	0.000266
SF-75	0.000263
SF-88	0.000238
SF-80	0.000236
SF-121	0.000217
SF-38	0.000216
SF-117	0.000206
SF-138	0.000200
SF-67	0.000197
SF-54	0.000183
SF-136	0.000171
SF-97	0.000169
SF-125	0.000164
SF-73	0.000161
SF-98	0.000160
SF-111	0.000146
SF-150	0.000145
SF-127	0.000143
SF-108	0.000136
SF-122	0.000135
SF-115	0.000119
SF-110	0.000118
SF-140	0.000112
SF-104	0.000111
SF-145	0.000109
SF-128	0.000108
SF-123	0.000104
SF-79	0.000086
SF-132	0.000085
SF-36	0.000082
SF-147	0.000078
SF-134	0.000077
SF-144	0.000068
SF-133	0.000068
SF-139	0.000065
SF-120	0.000062
SF-151	0.000059
SF-135	0.000055
SF-149	0.000051
SF-96	0.000047
SF-157	0.000045
SF-126	0.000039
SF-86	0.000036
SF-116	0.000030
SF-146	0.000027
SF-152	0.000023
SF-137	0.000021
SF-153	0.000019
SF-148	0.000013
SF-156	0.000003
SF-158	0.000003
